Overzicht Kandidaatgegevens;;;;;;;;;;;;;
Verkiezing: Tweede Kamer der Staten-Generaal 2021 2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kieskring;Lijstnummer;Politieke Groepering;Type;Publiceer geslacht;Taal;Nr.;Tussenvoegsel;Achternaam;Voorletters;Roepnaam;Geslacht;Woonplaats;Land
1;3;CDA;lijstengroep;ja;nl;32;van der;Tuin-Kuipers;L.;Lea;v;Kornhorn;NL
1;3;CDA;lijstengroep;ja;nl;33;;Bal;M.;Mustafa;m;Gorinchem;NL
1;3;CDA;lijstengroep;ja;nl;34;de;Jong;C.M.;Cees;m;Hoogblokland;NL
1;3;CDA;lijstengroep;ja;nl;35;van der;Wel;P.C.;Piet-Cees;m;Hardenberg;NL
1;3;CDA;lijstengroep;ja;nl;36;van;Steeg;G.C.;Bert;m;Utrecht;NL
1;3;CDA;lijstengroep;ja;nl;37;;Heine;G.;Gabriëlle;v;Maastricht;NL
1;3;CDA;lijstengroep;ja;nl;38;;Dijkman;M.C.T.H.;Michiel;m;Rotterdam;NL
1;3;CDA;lijstengroep;ja;nl;39;;Nunez Queija;R.;Rudesindo;m;Heemskerk;NL
1;3;CDA;lijstengroep;ja;nl;40;;Mous;I.E.;Inge Emilie;v;Amsterdam;NL
1;3;CDA;lijstengroep;ja;nl;41;van de;Vijver-van Deursen;P.E.M.;Patricia;v;Sluis;NL
1;3;CDA;lijstengroep;ja;nl;42;van;Rossum;H.;Huibert;m;Gouda;NL
1;3;CDA;lijstengroep;ja;nl;43;de;Vries;D.;Douwe;m;Hallum;NL
1;3;CDA;lijstengroep;ja;nl;44;ter;Braak;B.A.J.;Bo;v;Borne;NL
1;3;CDA;lijstengroep;ja;nl;45;van;Asselt;E.J.;Evert Jan;m;Houten;NL
1;3;CDA;lijstengroep;ja;nl;46;;Reesink;M.J.B.B.;Martin;m;Borne;NL
1;3;CDA;lijstengroep;ja;nl;47;van;Dam;C.J.L.;Chris;m;'s-Gravenhage;NL
1;3;CDA;lijstengroep;ja;nl;48;ter;Laak;I.;Ingeborg;v;Zoetermeer;NL
1;3;CDA;lijstengroep;ja;nl;49;;Klein;K.P.;Karsten;m;'s-Gravenhage;NL
1;3;CDA;lijstengroep;ja;nl;50;;Grapperhaus;F.B.J.;Ferd;m;Amsterdam;NL
1;3;CDA;lijstengroep;ja;nl;51;;Bijleveld-Schouten;A.T.B.;Ank;v;Goor;NL
1;3;CDA;lijstengroep;ja;nl;52;;Berghuis;D.;Dick;m;Oude Pekela;NL
1;3;CDA;lijstengroep;ja;nl;53;;Boonstra;J.T.;Jacob;m;Haren Gn;NL
1;3;CDA;lijstengroep;ja;nl;54;;Brouwer;H.G.T.;Gert;m;Wagenborgen;NL
1;3;CDA;lijstengroep;ja;nl;55;;Bulle;H.H.;Henk;m;Nieuwe Pekela;NL
1;3;CDA;lijstengroep;ja;nl;56;;Dahri-Loualidi;N.;Nayma;v;Delfzijl;NL
1;3;CDA;lijstengroep;ja;nl;57;;Dost;H.J.;Harma;v;Uithuizen;NL
1;3;CDA;lijstengroep;ja;nl;58;;Drenth;E.;Erik;m;Hoogezand;NL
1;3;CDA;lijstengroep;ja;nl;59;;Drent-Sinot;G.E.M.;Ingrid;v;Veendam;NL
1;3;CDA;lijstengroep;ja;nl;60;;Eisses;R.J.F.;Ruben;m;Groningen;NL
1;3;CDA;lijstengroep;ja;nl;61;;Engelage;L.;Luit;m;Oostwold;NL
1;3;CDA;lijstengroep;ja;nl;62;van de;Giessen;L.H.;Laura;v;Groningen;NL
1;3;CDA;lijstengroep;ja;nl;63;;Heidekamp-Prins;M.;Marjan;v;Vlagtwedde;NL
1;3;CDA;lijstengroep;ja;nl;64;;Hemmen;H.M.;Herma;v;Ter Apel;NL
1;3;CDA;lijstengroep;ja;nl;65;den;Hertog-Fluks;A.M.;Alma;v;Luddeweer;NL
1;3;CDA;lijstengroep;ja;nl;66;;Joustra;M.;Marnick;m;Appingedam;NL
1;3;CDA;lijstengroep;ja;nl;67;;Min;M.N.;Mara;v;Westerbroek;NL
1;3;CDA;lijstengroep;ja;nl;68;;Molenhuis;U.J.;Ulfert;m;Groningen;NL
1;3;CDA;lijstengroep;ja;nl;69;;Paas;A.J.;Jannes;m;Groningen;NL
1;3;CDA;lijstengroep;ja;nl;70;;Star;J.K.;Jacob Klaas;m;Aduard;NL
1;3;CDA;lijstengroep;ja;nl;71;;Veenstra;G.;Geertje;v;Den Horn;NL
1;3;CDA;lijstengroep;ja;nl;72;de;Wit;R.W.;Robert;m;Groningen;NL
1;3;CDA;lijstengroep;ja;nl;73;;Wubs-Kramer;A.I.;Agnes;v;Onstwedde;NL
1;4;D66;lijstengroep;nee;nl;1;;Kaag;S.A.M.;Sigrid;;'s-Gravenhage;NL
1;4;D66;lijstengroep;nee;nl;2;;Jetten;R.A.A.;Rob;;Ubbergen;NL
1;4;D66;lijstengroep;nee;nl;3;;Bergkamp;V.A.;Vera;;Amsterdam;NL
1;4;D66;lijstengroep;nee;nl;4;;Paternotte;J.M.;Jan;;Leiden;NL
