ChristenUnie,23,Robert de Heer,M,,,,,,
ChristenUnie,24,Henco Cecilia,M,,,,,,
ChristenUnie,25,Auke Pasterkamp,M,,,,,,
ChristenUnie,26,Francis van de Mooren,V,https://www.christenunie.nl/mensen/francis-van-der-mooren,https://www.linkedin.com/in/francis-van-der-mooren-74b1514/,,,,
ChristenUnie,27,Ruben van de Belt,M,,,,,,
ChristenUnie,28,Nathalie Nede,V,https://www.christenunie.nl/mensen/nathalie-nede,https://www.linkedin.com/in/nathalie-nede/,,https://www.instagram.com/nathalie.nede/,https://www.facebook.com/nathalie.nede,
ChristenUnie,29,Ad de Boer,M,,,,,,
ChristenUnie,30,Wim Voskamp,M,,,,,,
ChristenUnie,31,Jaco van Hoorn,M,,,,,,
ChristenUnie,32,Matthijs de Vries,M,,,,,,
ChristenUnie,33,Alma Broekmaat-Hagens,V,https://www.christenunie.nl/mensen/alma-broekmaat-hagens,https://www.linkedin.com/in/alma-broekmaat-hagens-a7310814/,,https://www.instagram.com/almahagens/,,
ChristenUnie,34,Sitsofe Quarshie,V,https://www.christenunie.nl/mensen/sitsofe-quarshie,https://www.linkedin.com/in/sitsofe-quarshie/,,https://www.instagram.com/sitso_q/,https://www.facebook.com/sitsofe.quarshie,
ChristenUnie,35,Marcel Koning,M,,,,,,
